building_id;name_de;name_en;name_de_status;era;category;dlc;is_buildable;is_module;blueprint_cost_usd;construction_cost_usd;power_mw;power_note;jobs;education;job_quality;service_quality;visitors_capacity;households;housing_quality;minimum_wealth;road_required;size;beauty;unlock_building;special_notes;data_status;source_url;source_line_range
dock;Hafen;Dock;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;9600;;;6;Ungebildet;;;;;;;Ja;6x15, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
construction_office;Bauunternehmen;Construction Office;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;2000;;;6;Ungebildet;;;;;;;Ja;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
teamsters_office;Fuhrunternehmen;Teamster's Office;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;2000;;;6;Ungebildet;;;;;;;Ja;2x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
landing;Anlegestelle;Landing;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;300;;;;;;;;;;;Nein;2x5, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
teamster_port;Fuhrhafen;Teamster Port;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;1700;;;6;Ungebildet;;;;;;;Ja;2x5, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
warehouse;Lagerhaus;Warehouse;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;4000;;;;;;;;;;;Ja;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
trading_post;Handelsposten;Trading Post;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;500;1500;;;;;;;;;;;Ja;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
lighthouse;Leuchtturm;Lighthouse;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Tropican Shores;Ja;Nein;1500;6000;;;1;Ungebildet;;;;;;;Nein;2x2, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
artificial_coral_reef;Künstliches Korallenriff;Artificial Coral Reef;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Tropican Shores;Ja;Nein;1250;5000;;;;;;;;;;;Nein;6x5, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
coconut_harvester;Kokosnussernter;Coconut Harvester;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;800;;;6;Ungebildet;;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
